## emapper-2.1.13	
## /usr/local/bin/emapper.py -i /inputs/GCA_000499845.2_P._vulgaris_v2.0_protein.faa --itype proteins -o /outputs/pvul_eggnog -m diamond --cpu 12 --data_dir /eggnog_db	
##	
#query	KEGG_ko
ESW03268.1	ko:K01738,ko:K14831
ESW30431.1	ko:K20100
ESW30432.1	ko:K20100
ESW30433.1	ko:K20100
ESW30434.1	ko:K20100
ESW30435.1	ko:K20100
ESW30436.1	ko:K20100
ESW30437.1	ko:K05277
ESW30438.1	-
ESW30439.1	-
ESW30440.1	ko:K03364
ESW30441.1	ko:K22013
ESW30442.1	-
ESW30443.1	-
ESW30444.1	ko:K01115
ESW30445.1	ko:K12451
ESW30446.1	ko:K01641
ESW30449.1	ko:K14295
ESW30450.1	ko:K09286
ESW30451.1	-
ESW30452.1	-
ESW30453.1	ko:K03355
ESW30454.1	ko:K03355
ESW30455.1	-
ESW30456.1	ko:K07437
ESW30457.1	ko:K07437
ESW30458.1	ko:K08912
ESW30459.1	ko:K03327
ESW30460.1	ko:K08912
ESW30461.1	-
ESW30462.1	-
ESW30463.1	-
ESW30464.1	-
ESW30465.1	-
ESW30467.1	-
ESW30468.1	-
ESW30469.1	-
ESW30471.1	-
ESW30472.1	-
ESW30473.1	ko:K03137
ESW30474.1	-
ESW30475.1	ko:K10352
ESW30477.1	-
ESW30478.1	ko:K15015
ESW30479.1	-
ESW30480.1	ko:K15015
ESW30481.1	ko:K15015
ESW30482.1	-
ESW30483.1	ko:K05765
ESW30484.1	ko:K17686
ESW30485.1	ko:K17686
ESW30486.1	-
ESW30487.1	ko:K20888
ESW30488.1	ko:K00432
ESW30489.1	-
ESW30490.1	ko:K07447
ESW30491.1	ko:K07447
ESW30492.1	ko:K11446
ESW30493.1	ko:K01919
ESW30494.1	-
ESW30495.1	-
ESW30496.1	-
ESW30497.1	-
ESW30498.1	-
ESW30499.1	-
ESW30500.1	-
ESW30501.1	ko:K09597
ESW30502.1	-
ESW30506.1	-
ESW30507.1	-
ESW30508.1	-
ESW30509.1	-
ESW30512.1	-
ESW30513.1	-
ESW30516.1	-
ESW30517.1	-
ESW30518.1	ko:K18635
ESW30519.1	ko:K18635
ESW30520.1	ko:K04371,ko:K04464,ko:K20600
ESW30521.1	ko:K04371,ko:K04464,ko:K20600
ESW30522.1	ko:K02947
ESW30523.1	ko:K09422
ESW30524.1	ko:K20772
ESW30525.1	ko:K01770
ESW30526.1	ko:K10878
ESW30528.1	ko:K01179
ESW30529.1	ko:K12795
ESW30531.1	-
ESW30532.1	-
ESW30533.1	ko:K13447
ESW30534.1	-
ESW30535.1	-
ESW30539.1	ko:K13412
ESW30542.1	-
ESW30543.1	-
ESW30544.1	-
ESW30545.1	-
ESW30548.1	ko:K20854
ESW30549.1	-
ESW30550.1	ko:K01792
ESW30551.1	-
ESW30552.1	-
ESW30553.1	-
ESW30554.1	-
ESW30555.1	ko:K16240
ESW30556.1	ko:K16240
ESW30557.1	ko:K12869
ESW30558.1	ko:K10352,ko:K20478
ESW30559.1	ko:K14684
ESW30561.1	ko:K14299
ESW30562.1	-
ESW30563.1	ko:K09422
ESW30564.1	ko:K09422
ESW30566.1	-
ESW30568.1	ko:K14497
ESW30569.1	ko:K01897
ESW30570.1	-
ESW30571.1	ko:K00940
ESW30572.1	-
ESW30573.1	-
ESW30574.1	-
ESW30575.1	-
ESW30576.1	ko:K11979
ESW30577.1	ko:K01784
ESW30578.1	ko:K01528
ESW30579.1	-
ESW30580.1	-
ESW30581.1	-
ESW30582.1	-
ESW30583.1	-
ESW30584.1	-
ESW30585.1	-
ESW30586.1	-
ESW30587.1	ko:K03404
ESW30588.1	ko:K08900
ESW30590.1	ko:K02967
ESW30591.1	ko:K08900
ESW30592.1	ko:K08900
ESW30593.1	-
ESW30594.1	-
ESW30595.1	-
ESW30596.1	ko:K00430
ESW30597.1	ko:K13457
ESW30598.1	ko:K00128,ko:K03676
ESW30599.1	-
ESW30600.1	-
ESW30601.1	-
ESW30602.1	-
ESW30603.1	ko:K20726
ESW30604.1	ko:K03671
ESW30607.1	ko:K14191
ESW30608.1	ko:K12637
ESW30609.1	-
ESW30610.1	ko:K21867
ESW30611.1	-
ESW30612.2	ko:K10352
ESW30613.1	-
ESW30614.1	-
ESW30616.1	-
ESW30617.1	ko:K22390
ESW30618.1	ko:K00688
ESW30619.1	-
ESW30620.1	-
ESW30621.1	-
ESW30622.1	-
ESW30623.1	-
ESW30624.1	-
ESW30625.1	ko:K09286
ESW30626.1	-
ESW30627.1	-
ESW30628.1	ko:K20347,ko:K20352
ESW30629.1	-
ESW30630.1	ko:K00592
ESW30631.1	-
ESW30632.1	-
ESW30633.1	-
ESW30634.1	-
ESW30635.1	-
ESW30636.1	ko:K09422
ESW30637.1	-
ESW30638.1	-
ESW30641.1	ko:K09422
ESW30642.1	-
ESW30643.1	-
ESW30644.1	ko:K01166
ESW30645.1	-
ESW30646.1	-
ESW30647.1	-
ESW30649.1	-
ESW30650.1	ko:K19613,ko:K22038
ESW30652.1	-
ESW30674.2	-
ESW30675.2	-
ESW30686.1	ko:K02880
ESW30688.1	ko:K12946
ESW30689.1	-
ESW30690.1	-
ESW30691.1	-
ESW30692.1	ko:K01228
ESW30694.1	-
ESW30695.1	-
ESW30696.1	-
ESW30697.1	ko:K17871
ESW30698.1	ko:K12818
ESW30699.1	ko:K00454
ESW30700.1	-
ESW30701.1	ko:K08818
ESW30702.1	ko:K08818
ESW30703.1	ko:K22455
ESW30704.1	ko:K09775
ESW30707.1	-
ESW30708.1	-
ESW30709.1	-
ESW30710.1	-
ESW30713.1	-
ESW30714.1	-
ESW30716.1	ko:K05665,ko:K05666,ko:K05670
ESW30717.1	ko:K18173
ESW30718.1	ko:K18173
ESW30719.1	-
ESW30720.1	ko:K03108
ESW30722.1	ko:K14491
ESW30723.1	-
ESW30724.1	-
ESW30725.1	-
ESW30726.1	-
ESW30727.1	ko:K20843
ESW30728.1	-
ESW30729.1	ko:K02923
ESW30730.1	-
ESW30731.1	-
ESW30732.1	-
ESW30733.1	-
ESW30734.1	-
ESW30735.1	-
ESW30736.1	-
ESW30737.1	-
ESW30738.1	-
ESW30739.1	ko:K07198
ESW30740.1	ko:K12581
ESW30741.1	ko:K12581
ESW30742.1	ko:K12581
ESW30743.1	ko:K12581
ESW30745.1	ko:K12581
ESW30746.1	ko:K12581
ESW30747.1	ko:K12581
ESW30748.1	ko:K12581
ESW30749.1	-
ESW30750.1	ko:K14807
ESW30751.1	ko:K07198
ESW30752.1	ko:K07198
ESW30753.1	ko:K07198
ESW30754.1	ko:K07198
ESW30758.1	ko:K02154
ESW30760.1	-
ESW30761.1	ko:K08150
ESW30762.1	ko:K11517
ESW30763.1	ko:K00819
ESW30764.1	ko:K21444
ESW30765.1	-
ESW30766.1	-
ESW30767.1	-
ESW30768.1	-
ESW30769.1	-
ESW30770.1	ko:K13448
ESW30771.1	ko:K01099,ko:K20279
ESW30772.1	ko:K14379
ESW30773.1	ko:K14379
ESW30775.1	ko:K13789
ESW30776.1	ko:K14379
ESW30777.1	ko:K08134
ESW30778.1	-
ESW30779.1	-
ESW30780.1	-
ESW30781.1	-
ESW30782.1	ko:K08235
ESW30783.1	ko:K08360
ESW30784.1	-
ESW30786.1	-
ESW30787.1	-
ESW30788.1	-
ESW30789.1	-
ESW30791.1	-
ESW30792.1	-
ESW30793.1	-
ESW30794.1	ko:K17413
ESW30795.1	ko:K04733
ESW30796.1	-
ESW30797.1	ko:K20043
ESW30798.1	-
ESW30799.1	ko:K18171
ESW30800.1	ko:K09260
ESW30801.1	ko:K10581
ESW30802.1	-
ESW30804.1	-
ESW30805.2	-
ESW30806.1	ko:K20043
ESW30807.1	-
ESW30808.1	ko:K14713
ESW30809.1	ko:K00660
ESW30810.1	-
ESW30811.2	-
ESW30813.1	-
ESW30814.1	ko:K13415
ESW30816.1	-
ESW30821.1	ko:K03549
ESW30822.1	ko:K03549
ESW30823.1	-
ESW30824.1	ko:K11426
ESW30825.1	ko:K14638
ESW30826.1	ko:K14638
ESW30827.1	ko:K01580
ESW30829.1	ko:K01580
ESW30830.1	ko:K11664
ESW30833.1	ko:K22415
ESW30834.1	-
ESW30835.2	-
ESW30836.1	-
ESW30837.1	ko:K17710
ESW30838.1	ko:K17710
ESW30839.1	ko:K17710
ESW30840.1	ko:K17710
ESW30841.1	ko:K17710
ESW30842.1	ko:K02151
ESW30843.1	-
ESW30845.1	-
ESW30846.1	-
ESW30847.1	-
ESW30849.1	ko:K01802
ESW30850.1	-
ESW30851.1	ko:K00512,ko:K00517,ko:K07418,ko:K13260,ko:K20623
ESW30852.1	ko:K00512,ko:K00517,ko:K07418,ko:K13260,ko:K20623
ESW30853.1	ko:K09338
ESW30854.1	ko:K03509
ESW30855.1	ko:K17807
ESW30856.1	ko:K17807
ESW30857.1	ko:K17807
ESW30858.1	ko:K17807
ESW30859.1	-
ESW30860.1	-
ESW30861.1	-
ESW30862.1	ko:K11714
ESW30863.1	ko:K10999
ESW30864.1	-
ESW30865.1	-
ESW30867.2	-
ESW30869.1	ko:K00469
ESW30870.1	-
ESW30872.1	ko:K01213
ESW30873.1	-
ESW30875.1	ko:K10592
ESW30876.1	ko:K00794
ESW30878.1	ko:K17686
ESW30879.1	ko:K02901
ESW30881.1	ko:K03671
ESW30882.1	ko:K03671
ESW30883.1	ko:K11884
ESW30884.1	ko:K02917
ESW30886.1	-
ESW30887.1	ko:K15422
ESW30888.1	ko:K00972
ESW30890.1	ko:K03798
ESW30891.1	-
ESW30892.1	ko:K03549
ESW30893.1	ko:K03549
ESW30894.1	-
ESW30895.1	ko:K03580,ko:K11643,ko:K14435
ESW30896.1	-
ESW30897.1	-
ESW30898.1	ko:K10752
ESW30899.1	ko:K13506
ESW30901.1	ko:K13506
ESW30902.1	ko:K12581
ESW30903.1	ko:K12581
ESW30904.1	ko:K12581
ESW30905.1	ko:K13506
ESW30906.1	ko:K12581
ESW30907.1	ko:K12581
ESW30908.1	ko:K12581
ESW30909.1	ko:K12581
ESW30910.1	ko:K12581
ESW30911.1	ko:K13506
ESW30912.1	ko:K12581
ESW30916.1	ko:K12581
ESW30917.1	ko:K12581
ESW30919.1	ko:K04125
ESW30921.1	-
ESW30922.1	ko:K03015
ESW30923.1	ko:K03015
ESW30924.1	ko:K03015
ESW30925.1	ko:K03189
ESW30926.1	ko:K03189
ESW30928.1	-
ESW30929.1	-
ESW30930.1	ko:K02541
ESW30931.1	ko:K09458
ESW30932.1	-
ESW30933.1	-
ESW30934.1	ko:K12412
ESW30935.1	-
ESW30936.1	-
ESW30937.1	-
ESW30938.1	ko:K11296
ESW30943.2	ko:K00469
ESW30952.1	-
ESW30953.1	ko:K13420
ESW30954.1	-
ESW30955.1	ko:K08912
ESW30956.1	ko:K12624
ESW30957.1	ko:K00703
ESW30958.1	-
ESW30959.1	-
ESW30963.1	ko:K03377
ESW30964.1	-
ESW30966.1	ko:K06875
ESW30967.1	ko:K03031
ESW30968.1	-
ESW30969.1	-
ESW30970.1	-
ESW30971.1	-
ESW30972.1	ko:K17710
ESW30974.2	ko:K13506
ESW30975.1	ko:K20798
ESW30976.1	ko:K14803
ESW30977.1	ko:K00013
ESW30980.1	ko:K03434
ESW30981.2	ko:K04125,ko:K07767
ESW30982.1	ko:K07375
ESW30983.1	ko:K19706
ESW30984.1	ko:K22395
ESW30986.1	ko:K22395
ESW30987.1	-
ESW30988.1	-
ESW30989.1	-
ESW30990.1	-
ESW30991.1	-
ESW30993.1	ko:K22395
ESW30994.1	ko:K22395
ESW30995.1	ko:K22395
ESW30996.1	ko:K22395
ESW31003.1	-
ESW31004.1	ko:K22395
ESW31007.1	-
ESW31008.1	ko:K04506
ESW31009.1	ko:K03505
ESW31010.1	ko:K03505
ESW31011.1	ko:K22395
ESW31012.1	-
ESW31013.1	ko:K16219
ESW31014.1	-
ESW31015.1	-
ESW31016.1	-
ESW31017.1	-
ESW31018.1	-
ESW31019.1	ko:K02206
ESW31020.1	-
ESW31021.1	-
ESW31022.1	ko:K13414
ESW31023.1	-
ESW31024.1	-
ESW31025.1	ko:K19998
ESW31026.1	-
ESW31029.1	-
ESW31031.1	ko:K14432
ESW31032.1	ko:K14769
ESW31033.1	-
ESW31034.1	ko:K15382
ESW31035.1	-
ESW31036.1	-
ESW31039.1	-
ESW31040.1	-
ESW31041.1	-
ESW31042.1	ko:K17710,ko:K17964
ESW31045.1	-
ESW31046.1	-
ESW31047.1	-
ESW31048.1	-
ESW31049.1	-
ESW31051.1	-
ESW31054.1	ko:K01590
ESW31055.1	ko:K01590
ESW31056.1	-
ESW31057.1	-
ESW31058.1	-
ESW31059.1	-
ESW31061.1	ko:K12885
ESW31062.1	ko:K15430
ESW31063.1	-
ESW31064.1	ko:K10885
ESW31065.1	-
ESW31066.1	ko:K20043,ko:K20044
ESW31067.1	ko:K02929
ESW31069.1	-
ESW31070.1	-
ESW31071.1	-
ESW31074.1	ko:K15920
ESW31075.1	ko:K13416,ko:K13417,ko:K13418
ESW31076.1	ko:K13416,ko:K13417,ko:K13418
ESW31077.1	-
ESW31078.1	-
ESW31079.1	-
ESW31080.1	-
ESW31081.1	ko:K08917
ESW31083.1	ko:K21844
ESW31084.1	ko:K07053
ESW31085.1	ko:K20367
ESW31086.1	-
ESW31087.1	-
ESW31088.1	ko:K02911
ESW31089.1	-
ESW31091.1	-
ESW31092.1	ko:K12891
ESW31093.1	ko:K12891
ESW31094.1	ko:K12891
ESW31095.1	ko:K03549
ESW31096.1	ko:K03549
ESW31097.1	ko:K01533
ESW31100.1	ko:K17893
ESW31101.1	ko:K17893
ESW31102.1	ko:K21596
ESW31103.1	-
ESW31104.1	-
ESW31105.1	-
ESW31106.1	ko:K17506
ESW31107.1	ko:K01426
ESW31111.1	-
ESW31112.1	-
ESW31113.1	-
ESW31114.1	ko:K14396
ESW31115.1	-
ESW31116.1	-
ESW31117.1	-
ESW31119.1	-
ESW31120.1	ko:K14652
ESW31121.1	-
ESW31122.1	-
ESW31123.1	-
ESW31124.1	-
ESW31125.1	-
ESW31126.1	-
ESW31127.1	ko:K19041
ESW31128.1	ko:K01469
ESW31129.1	ko:K01469
ESW31130.1	ko:K01469
ESW31132.1	-
ESW31133.1	ko:K13993
ESW31136.1	-
ESW31139.1	ko:K17255
ESW31140.1	-
ESW31142.1	ko:K17619
ESW31143.1	-
ESW31144.1	ko:K01431
ESW31145.1	-
ESW31146.1	-
ESW31147.1	-
ESW31148.1	ko:K03841
ESW31151.1	-
ESW31152.1	-
ESW31153.1	ko:K17065
ESW31154.1	-
ESW31155.1	ko:K22314
ESW31156.1	-
ESW31157.1	-
ESW31158.1	-
ESW31159.1	ko:K12930,ko:K21374
ESW31160.1	ko:K17279
ESW31161.1	ko:K00140
ESW31163.1	-
ESW31166.1	ko:K04730
ESW31167.1	-
ESW31168.1	-
ESW31169.1	ko:K04730,ko:K04733
ESW31172.1	-
ESW31173.1	-
ESW31174.1	ko:K04043
ESW31175.1	-
ESW31176.1	-
ESW31177.1	ko:K02492
ESW31178.1	-
ESW31179.1	-
ESW31181.1	ko:K20032
ESW31182.1	ko:K17744
ESW31183.1	-
ESW31184.1	ko:K00026
ESW31185.1	ko:K00026
ESW31186.1	ko:K00511
ESW31188.1	ko:K10206
ESW31190.1	ko:K16302
ESW31191.1	-
ESW31192.1	ko:K00826,ko:K21346
ESW31193.1	ko:K00826
ESW31194.1	ko:K13449
ESW31195.1	-
ESW31196.1	ko:K13449
ESW31197.1	-
ESW31199.1	ko:K10405
ESW31200.1	ko:K10405
ESW31201.1	-
ESW31202.1	-
ESW31203.1	-
ESW31204.1	-
ESW31205.1	-
ESW31206.1	ko:K08695,ko:K21102
ESW31207.1	ko:K08695,ko:K21102
ESW31208.1	ko:K04733
ESW31209.1	-
ESW31212.1	ko:K14175,ko:K15086
ESW31213.1	ko:K14175,ko:K15086
ESW31214.1	ko:K14175,ko:K15086
ESW31216.1	-
ESW31219.1	ko:K03809
ESW31220.1	-
ESW31221.1	-
ESW31223.1	-
ESW31225.1	-
ESW31226.1	ko:K01179
ESW31227.1	ko:K17964
ESW31228.1	ko:K04733
ESW31229.1	-
ESW31230.1	-
ESW31232.1	ko:K15601
ESW31233.1	ko:K09422
ESW31236.1	-
ESW31237.1	ko:K08332
ESW31238.1	ko:K14485
ESW31239.1	ko:K17871
ESW31240.1	ko:K11108
ESW31241.1	-
ESW31242.1	-
ESW31243.1	-
ESW31244.1	-
ESW31245.1	-
ESW31246.1	-
ESW31247.1	ko:K20884
ESW31248.1	-
ESW31249.1	ko:K03351
ESW31250.1	-
ESW31251.1	ko:K14851
ESW31252.1	ko:K04718
ESW31253.1	ko:K08486
ESW31254.1	ko:K12184
ESW31255.1	-
ESW31256.1	ko:K02882
ESW31257.1	-
ESW31258.1	ko:K17871
ESW31259.1	-
ESW31262.1	ko:K19995
ESW31263.1	-
ESW31264.1	-
ESW31265.1	-
ESW31266.1	-
ESW31267.1	ko:K18643
ESW31268.1	ko:K18643
ESW31269.1	-
ESW31270.1	-
ESW31271.1	-
ESW31272.1	-
ESW31273.2	-
ESW31274.1	ko:K01054
ESW31275.1	ko:K16297
ESW31276.1	ko:K16297
ESW31277.1	-
ESW31282.1	-
ESW31283.1	ko:K05747
ESW31284.1	ko:K00422
ESW31290.1	-
ESW31291.1	-
ESW31292.1	ko:K12829
ESW31293.1	ko:K15178
ESW31294.1	ko:K03857
ESW31295.1	-
ESW31296.1	-
ESW31297.1	ko:K00512,ko:K07408,ko:K07418,ko:K11868
ESW31298.1	-
ESW31299.1	ko:K18998
ESW31302.1	-
ESW31303.1	-
ESW31304.1	-
ESW31307.1	-
ESW31311.1	ko:K03144
ESW31312.1	-
ESW31313.1	-
ESW31314.1	ko:K07456
ESW31315.1	ko:K07456
ESW31316.1	-
ESW31317.1	ko:K09419
ESW31318.1	ko:K06027
ESW31319.1	ko:K10666
ESW31320.1	ko:K00454
ESW31321.1	ko:K03978
ESW31322.1	-
ESW31323.1	-
ESW31324.1	-
ESW31325.1	-
ESW31327.1	-
ESW31328.1	-
ESW31329.1	ko:K14409
ESW31330.1	-
ESW31331.1	ko:K02988
ESW31332.1	-
ESW31333.1	-
ESW31334.1	ko:K02991
ESW31335.1	-
ESW31336.1	-
ESW31337.1	-
ESW31340.1	ko:K15109
ESW31341.1	ko:K15109
ESW31342.1	-
ESW31344.1	-
ESW31345.1	-
ESW31346.1	-
ESW31347.1	-
ESW31348.1	-
ESW31349.1	ko:K01094
ESW31350.1	-
ESW31351.1	ko:K13993
ESW31352.1	ko:K13993
ESW31353.1	ko:K13993
ESW31354.1	ko:K13993
ESW31355.1	ko:K13993
ESW31356.1	ko:K13993
ESW31357.1	ko:K22376
ESW31358.1	-
ESW31360.1	-
ESW31361.1	-
ESW31362.1	ko:K15283
ESW31363.1	-
ESW31364.1	-
ESW31366.1	ko:K04730,ko:K04733
ESW31371.2	ko:K20310
ESW31377.2	ko:K03144
ESW31378.1	ko:K02888
ESW31379.1	ko:K10581
ESW31380.1	-
ESW31381.1	-
ESW31382.1	-
ESW31383.1	-
ESW31384.1	-
ESW31385.1	-
ESW31386.1	-
ESW31387.1	-
ESW31388.1	ko:K01807
ESW31389.1	-
ESW31390.1	-
ESW31391.1	ko:K11594
ESW31392.1	-
ESW31393.2	ko:K03978
ESW31394.1	-
ESW31395.1	ko:K05956
ESW31396.1	-
ESW31397.1	ko:K04382
ESW31398.1	-
ESW31399.1	-
ESW31400.1	-
ESW31401.1	ko:K03241
ESW31402.1	-
ESW31403.1	ko:K20217
ESW31404.1	ko:K02711
ESW31405.1	-
ESW31406.1	ko:K19892,ko:K20217
ESW31407.1	ko:K19892,ko:K20217
ESW31408.1	ko:K02912,ko:K03132,ko:K04805,ko:K06990,ko:K09329,ko:K09503,ko:K17593,ko:K17822
ESW31409.1	-
ESW31410.1	-
ESW31411.1	-
ESW31412.1	-
ESW31413.1	-
ESW31414.1	-
ESW31415.1	-
ESW31416.1	-
ESW31417.1	ko:K01056
ESW31418.1	ko:K01056
ESW31419.1	ko:K01056
ESW31420.1	ko:K01056
ESW31421.1	ko:K01056
ESW31422.1	ko:K01056
ESW31423.1	ko:K01056
ESW31424.1	ko:K01056
ESW31425.1	ko:K20222
ESW31426.1	ko:K09286
ESW31427.1	ko:K07374
ESW31428.1	ko:K20537
ESW31429.1	ko:K20537
ESW31430.1	-
ESW31431.1	-
ESW31432.1	-
ESW31433.1	-
ESW31434.1	-
ESW31435.1	ko:K15104
ESW31436.1	ko:K15104
ESW31437.1	-
ESW31438.1	-
ESW31439.1	ko:K06630
ESW31440.1	ko:K06630
ESW31441.1	ko:K06630
ESW31442.1	-
ESW31443.1	ko:K01595
ESW31444.1	-
ESW31445.1	-
ESW31446.1	ko:K07198
ESW31447.1	-
ESW31449.1	-
ESW31450.1	-
ESW31451.1	-
ESW31452.1	-
ESW31453.1	-
ESW31454.1	ko:K14611
ESW31455.1	ko:K14502
ESW31456.1	ko:K14502
ESW31457.1	ko:K14502
ESW31458.1	ko:K14502
ESW31459.1	ko:K14502
ESW31460.1	-
ESW31461.1	-
ESW31463.1	-
ESW31464.1	-
ESW31465.1	-
ESW31466.1	ko:K10999
ESW31467.1	-
ESW31468.1	-
ESW31470.1	-
ESW31471.1	-
ESW31472.1	-
ESW31473.1	-
ESW31474.1	-
ESW31476.1	-
ESW31478.1	-
ESW31479.1	ko:K00799
ESW31480.1	ko:K10949
ESW31481.1	-
ESW31482.1	-
ESW31483.1	-
ESW31484.1	-
ESW31485.1	ko:K09414,ko:K09419
ESW31486.1	-
ESW31487.1	ko:K09874
ESW31488.1	ko:K09874
ESW31489.1	ko:K19365
ESW31490.1	ko:K07195
ESW31491.1	-
ESW31492.1	ko:K14754,ko:K17065
ESW31493.1	-
ESW31495.1	ko:K14638
ESW31496.1	-
ESW31497.1	ko:K09264
ESW31498.1	-
ESW31502.1	-
ESW31503.1	-
ESW31504.1	ko:K16055
ESW31505.1	ko:K10746
ESW31506.1	ko:K14416
ESW31507.1	ko:K14416
ESW31508.1	ko:K14416
ESW31510.1	ko:K08235
ESW31511.1	-
ESW31512.1	-
ESW31513.1	-
ESW31514.1	-
ESW31515.1	ko:K00972
ESW31516.1	ko:K13217
ESW31517.1	-
ESW31520.1	-
ESW31523.1	-
ESW31524.1	-
ESW31525.1	-
ESW31526.1	ko:K03797
ESW31527.1	-
ESW31528.1	ko:K14638
ESW31529.1	-
ESW31530.1	-
ESW31531.1	ko:K09493
ESW31532.1	ko:K01724
ESW31533.1	-
ESW31534.1	-
ESW31535.1	ko:K02962,ko:K04324,ko:K06674,ko:K14807,ko:K20099
ESW31538.1	-
ESW31539.1	ko:K08064
ESW31540.1	ko:K08064
ESW31541.1	-
ESW31542.1	ko:K09338
ESW31543.1	ko:K20818
ESW31544.1	ko:K20818
ESW31545.1	ko:K20102
ESW31546.1	ko:K04733
ESW31547.1	-
ESW31548.1	ko:K20667
ESW31549.1	-
ESW31550.1	-
ESW31551.1	-
ESW31552.1	-
ESW31553.1	-
ESW31554.1	-
ESW31555.1	ko:K11820,ko:K13691
ESW31556.1	ko:K17800
ESW31557.1	-
ESW31558.1	ko:K01653
ESW31559.1	ko:K17255
ESW31560.1	ko:K09201,ko:K20828
ESW31561.1	-
ESW31562.1	ko:K17618
ESW31563.1	-
ESW31564.1	ko:K16075
ESW31567.1	-
ESW31568.1	-
ESW31569.1	-
ESW31570.1	-
ESW31571.1	-
ESW31572.1	ko:K02639,ko:K17087
ESW31576.1	-
ESW31577.1	-
ESW31578.1	ko:K11548
ESW31579.1	-
ESW31580.1	-
ESW31581.1	ko:K00889
ESW31582.1	-
ESW31583.1	-
ESW31584.1	ko:K20352
ESW31585.1	-
ESW31586.1	-
ESW31588.1	-
ESW31589.1	-
ESW31590.1	-
ESW31592.1	ko:K09184,ko:K21630
ESW31593.1	ko:K08770
ESW31594.1	ko:K14294
ESW31595.1	ko:K12448
ESW31596.1	ko:K12448
ESW31597.1	ko:K12448
ESW31598.1	ko:K20667
ESW31599.1	ko:K13111
ESW31600.1	ko:K04730
ESW31601.1	-
ESW31604.1	-
ESW31605.1	ko:K11446
ESW31606.1	-
ESW31607.1	-
ESW31608.1	ko:K03294
ESW31609.1	-
ESW31610.1	ko:K10610
ESW31611.1	-
ESW31612.1	-
ESW31613.1	ko:K02370
ESW31614.1	-
ESW31615.1	-
ESW31616.1	ko:K14398,ko:K18584
ESW31617.1	-
ESW31618.1	-
ESW31619.1	-
ESW31621.1	ko:K10251
ESW31622.1	-
ESW31623.1	ko:K14398,ko:K18584
ESW31624.1	ko:K02723
ESW31626.1	ko:K14514
ESW31627.1	ko:K02949
ESW31628.1	-
ESW31629.1	ko:K00232
ESW31630.1	ko:K00232
ESW31631.1	-
ESW31632.1	ko:K09286
ESW31633.1	ko:K01087
ESW31634.1	-
ESW31635.1	ko:K09527
ESW31636.1	-
ESW31637.1	-
ESW31638.1	-
ESW31641.1	-
ESW31642.1	-
ESW31645.1	-
ESW31646.1	ko:K17098
ESW31648.1	-
ESW31649.1	ko:K15272
ESW31650.1	ko:K02892
ESW31651.1	-
ESW31652.1	ko:K07893
ESW31653.1	ko:K14684
ESW31654.1	ko:K21596
ESW31655.1	ko:K11842
ESW31656.1	ko:K02904
ESW31657.1	ko:K21766
ESW31658.1	-
ESW31659.1	-
ESW31660.1	-
ESW31661.1	-
ESW31664.1	ko:K03686
ESW31666.1	-
ESW31668.1	-
ESW31669.1	-
ESW31670.1	-
ESW31671.1	ko:K07052
ESW31673.1	-
ESW31674.1	-
ESW31675.1	-
ESW31676.1	-
ESW31677.1	-
ESW31679.1	-
ESW31680.1	ko:K16280
ESW31681.1	-
ESW31682.1	-
ESW31684.1	ko:K04459,ko:K21278
ESW31685.1	-
ESW31686.1	-
ESW31687.1	-
ESW31688.1	ko:K02942
ESW31689.1	-
ESW31690.1	-
ESW31691.1	-
ESW31692.1	ko:K03517
ESW31694.1	-
ESW31695.1	-
ESW31697.1	ko:K00737
ESW31698.1	ko:K20044
ESW31699.1	-
ESW31700.1	ko:K01531
ESW31701.1	ko:K10664
ESW31702.1	ko:K14652
ESW31703.1	ko:K09338
ESW31704.1	-
ESW31705.1	-
ESW31706.1	-
ESW31708.1	ko:K02991,ko:K14498
ESW31709.1	ko:K15334
ESW31710.1	ko:K07904
ESW31711.1	ko:K14396
ESW31712.1	ko:K01834
ESW31713.1	ko:K01834
ESW31714.1	ko:K01858
ESW31715.1	-
ESW31716.1	-
ESW31717.1	-
ESW31718.1	ko:K15849
ESW31719.1	ko:K00423
ESW31720.1	-
ESW31721.1	ko:K01802
ESW31722.1	ko:K01802
ESW31723.1	ko:K01802
ESW31724.1	-
ESW31725.1	-
ESW31726.1	ko:K17785
ESW31727.1	ko:K17785
ESW31728.1	ko:K09140
ESW31729.1	ko:K15559
ESW31730.1	ko:K16282
ESW31731.1	-
ESW31732.1	-
ESW31733.1	-
ESW31734.1	-
ESW31735.1	-
ESW31736.1	ko:K14431
ESW31737.1	ko:K14431
ESW31738.1	ko:K14431
ESW31739.1	ko:K00827
ESW31740.1	-
ESW31741.1	ko:K20562
ESW31742.1	ko:K20562
ESW31744.1	ko:K20562
ESW31745.1	ko:K06066
ESW31747.1	-
ESW31748.1	ko:K08065
ESW31749.1	-
ESW31750.1	-
ESW31751.1	-
ESW31752.1	-
ESW31753.1	ko:K00891
ESW31755.1	ko:K02934
ESW31756.1	-
ESW31757.1	-
ESW31758.1	ko:K07933,ko:K07976
ESW31760.1	ko:K07897,ko:K07976
ESW31761.1	ko:K22063
ESW31762.1	-
ESW31763.1	-
ESW31766.1	-
ESW31767.1	ko:K15111
ESW31768.1	ko:K15111
ESW31772.1	-
ESW31773.1	ko:K15901
